ticker,buy_date,buy_price,sell_date,sell_price,profit,profit_percent
,2021-02-01,61.5,2021-10-01,39.45000076293945,-10519.199256896973,-16697.141677614243
,2010-04-01,2312.800048828125,2013-02-01,3521.25,15936.6005859375,675.2940068929809
,2014-08-01,5909.9501953125,2020-02-01,20575.25,74468.24951171875,1259.7502817714035
,2010-01-01,12.287500381469727,2011-09-01,13.050000190734863,2181.641887664795,18030.097676739097
,2013-01-01,28.3125,2017-04-01,142.03750610351562,120103.84396362305,419576.74747117225
,2020-05-01,243.0625,2022-02-01,455.70001220703125,26039.101501464844,10671.762910436411
,2012-04-01,17.43483543395996,2013-08-01,16.402109146118164,-2194.2394256591797,-12498.278301822735
,2014-06-01,760.5999755859375,2015-03-01,426.3999938964844,-13016.25,-1722.2957327158451
,2014-07-01,944.3092041015625,2016-01-01,881.62158203125,-1412.808349609375,-151.1312554578916
,2017-07-01,1290.0672607421875,2018-05-01,1118.345703125,-4205.3837890625,-323.0378200957903
,2021-10-01,263.0,2023-02-01,229.6999969482422,-3853.1986083984375,-1455.9602105661047
,2010-02-01,923.0999755859375,2013-03-01,1159.199951171875,7900.80078125,855.8987098049664
,2021-05-01,1986.050048828125,2023-01-01,1968.300048828125,142.5,7.160804020100503
,2010-02-01,81.1500015258789,2011-05-01,80.0,-590.3994369506836,-727.5408821309805
,2012-08-01,157.14999389648438,2018-05-01,1166.199951171875,193210.99014282227,129411.24326423612
,2010-08-01,65.25,2011-10-01,40.849998474121094,-11291.399299621582,-17212.49933271872
,2014-10-01,34.650001525878906,2018-11-01,92.0999984741211,49131.99934005737,139579.5405544034
,2014-04-01,85.5999984741211,2016-01-01,114.44999694824219,10605.001068115234,12389.020160229766
,2021-05-01,122.4000015258789,2023-02-01,112.30000305175781,-2229.499626159668,-1834.9791161807968
,2010-02-01,74.5836410522461,2011-10-01,73.25015258789062,-899.6019744873047,-1206.1652686775246
,2014-05-01,73.40342712402344,2015-06-01,49.504276275634766,-10032.279602050781,-13495.420078834666
,2017-07-01,395.8999938964844,2018-09-01,328.8999938964844,-5208.750915527344,-1310.5423966660019
,2021-02-01,675.9000244140625,2023-01-01,612.6500244140625,-2534.39892578125,-370.20143385370426
,2018-11-01,55.5,2020-03-01,27.75,-15443.99917602539,-27407.275233766144
,2021-06-01,113.44999694824219,2023-02-01,146.3000030517578,10441.200805664062,9203.350450884114
,2014-10-01,14.0600004196167,2018-10-01,40.560001373291016,57484.34959316254,405104.66027518915
,2019-11-01,60.06999969482422,2020-03-01,34.0,-13163.620532989502,-21801.29231554584
,2014-07-01,198.8000030517578,2018-06-01,304.3500061035156,16477.500915527344,8280.151213832836
,2014-04-01,17.75,2015-09-01,22.524999618530273,8069.749355316162,45463.37664966852
,2020-10-01,312.79998779296875,2022-03-01,282.1000061035156,-2954.5005798339844,-938.8307801813211
,2010-05-01,16.730966567993164,2011-09-01,18.709999084472656,4984.599369049072,29991.633057517003
,2023-03-01,378.95001220703125,2023-10-01,292.3999938964844,-7011.25,-1837.5704951678167
,2010-02-01,20.820480346679688,2012-07-01,35.786930084228516,21830.026245117188,104848.81175471294
,2014-07-01,67.32139587402344,2016-02-01,66.4377670288086,614.3975448608398,934.8739712856784
,2017-07-01,104.50279998779297,2018-05-01,94.2168197631836,-3090.765693664551,-2968.9665326508907
,2020-10-01,326.5,2021-03-01,299.20001220703125,-2343.25,-717.687595712098
,2010-03-01,400.95001220703125,2011-08-01,324.8999938964844,-6149.400451660156,-1507.20599305396
,2013-11-01,419.3999938964844,2016-01-01,821.9000244140625,28779.848266601562,6783.700239623232
,2010-02-01,12.711111068725586,2017-06-01,1029.933349609375,2397655.015182495,18862670.636886217
,2021-07-01,444.29998779296875,2022-05-01,294.0,-10257.700408935547,-2279.488979763455
,2010-02-01,622.75,2013-08-01,744.0499877929688,6108.0,980.8109193095144
,2014-10-01,1299.300048828125,2018-08-01,1716.25,10171.75,798.4105180533752
,2017-12-01,57.75,2018-06-01,39.54999923706055,-9316.050395965576,-16131.688997342988
,2020-06-01,81.0,2022-03-01,72.44999694824219,-3311.4988708496094,-4063.188798588478
,2010-03-01,120.0,2011-02-01,60.0,-16437.5,-13071.570576540757
,2014-04-01,99.0999984741211,2019-06-01,556.5,136775.80046081543,138017.96424500752
,2021-07-01,795.4000244140625,2023-03-01,676.7999877929688,-4397.4490966796875,-547.7298661521828
,2020-04-01,2599.39990234375,2022-06-01,2998.550048828125,4351.60107421875,167.40791096803255
