Ticker,MA1,MA2,RSI,Total Trades,Profitable Trades,Losing Trades,Total Profit/Loss,Profit Percentage,Buy Prices,Sell Prices
20MICRONS,14,30,14,0,0,0,0,0.0,,
360ONE,14,30,14,0,0,0,0,0.0,,
3IINFOLTD,14,30,14,1,0,1,-10519,-10.52,61.5,39.45000076293945
3MINDIA,14,30,14,2,2,0,90405,90.4,"2312.800048828125, 5909.9501953125","3521.25, 20575.25"
5PAISA,14,30,14,0,0,0,0,0.0,,
63MOONS,14,30,14,0,0,0,0,0.0,,
A2ZINFRA,14,30,14,0,0,0,0,0.0,,
AARON,14,30,14,0,0,0,0,0.0,,
AARTIDRUGS,14,30,14,3,3,0,148325,148.32,"12.287500381469727, 28.3125, 243.0625","13.050000190734863, 142.03750610351562, 455.70001220703125"
AARTIIND,14,30,14,1,0,1,-2194,-2.19,17.43483543395996,16.402109146118164
AARTISURF,14,30,14,0,0,0,0,0.0,,
AARVI,14,30,14,0,0,0,0,0.0,,
AAVAS,14,30,14,0,0,0,0,0.0,,
ABAN,14,30,14,1,0,1,-13016,-13.02,760.5999755859375,426.3999938964844
ABB,14,30,14,2,0,2,-5618,-5.62,"944.3092041015625, 1290.0672607421875","881.62158203125, 1118.345703125"
ABCAPITAL,14,30,14,0,0,0,0,0.0,,
ABFRL,14,30,14,1,0,1,-3853,-3.85,263.0,229.6999969482422
ABSLAMC,14,30,14,0,0,0,0,0.0,,
ACC,14,30,14,2,2,0,8043,8.04,"923.0999755859375, 1986.050048828125","1159.199951171875, 1968.300048828125"
ACCELYA,14,30,14,2,1,1,192621,192.62,"81.1500015258789, 157.14999389648438","80.0, 1166.199951171875"
ACE,14,30,14,2,1,1,37841,37.84,"65.25, 34.650001525878906","40.849998474121094, 92.0999984741211"
ACLGATI,14,30,14,2,1,1,8376,8.38,"85.5999984741211, 122.4000015258789","114.44999694824219, 112.30000305175781"
ADANIENT,14,30,14,2,0,2,-10932,-10.93,"74.5836410522461, 73.40342712402344","73.25015258789062, 49.504276275634766"
ADANIGREEN,14,30,14,0,0,0,0,0.0,,
ADANIPORTS,14,30,14,2,0,2,-7743,-7.74,"395.8999938964844, 675.9000244140625","328.8999938964844, 612.6500244140625"
ADANIPOWER,14,30,14,2,1,1,-5003,-5.0,"55.5, 113.44999694824219","27.75, 146.3000030517578"
ADFFOODS,14,30,14,2,1,1,44321,44.32,"14.0600004196167, 60.06999969482422","40.560001373291016, 34.0"
ADORWELD,14,30,14,1,1,0,16478,16.48,198.8000030517578,304.3500061035156
ADSL,14,30,14,0,0,0,0,0.0,,
ADVANIHOTR,14,30,14,1,1,0,8070,8.07,17.75,22.524999618530273
ADVENZYMES,14,30,14,1,0,1,-2955,-2.95,312.79998779296875,282.1000061035156
AEGISCHEM,14,30,14,2,1,1,-2027,-2.03,"16.730966567993164, 378.95001220703125","18.709999084472656, 292.3999938964844"
AFFLE,14,30,14,0,0,0,0,0.0,,
AGARIND,14,30,14,0,0,0,0,0.0,,
AGI,14,30,14,3,2,1,19354,19.35,"20.820480346679688, 67.32139587402344, 104.50279998779297","35.786930084228516, 66.4377670288086, 94.2168197631836"
AHLEAST,14,30,14,0,0,0,0,0.0,,
AHLUCONT,14,30,14,1,0,1,-2343,-2.34,326.5,299.20001220703125
AIAENG,14,30,14,2,1,1,22630,22.63,"400.95001220703125, 419.3999938964844","324.8999938964844, 821.9000244140625"
AIRAN,14,30,14,0,0,0,0,0.0,,
AIROLAM,14,30,14,0,0,0,0,0.0,,
AJANTPHARM,14,30,14,1,1,0,2397655,2397.66,12.711111068725586,1029.933349609375
AJMERA,14,30,14,0,0,0,0,0.0,,
AKSHARCHEM,14,30,14,1,0,1,-10258,-10.26,444.29998779296875,294.0
AKZOINDIA,14,30,14,2,2,0,16280,16.28,"622.75, 1299.300048828125","744.0499877929688, 1716.25"
ALANKIT,14,30,14,0,0,0,0,0.0,,
ALBERTDAVD,14,30,14,0,0,0,0,0.0,,
ALEMBICLTD,14,30,14,2,0,2,-12628,-12.63,"57.75, 81.0","39.54999923706055, 72.44999694824219"
ALICON,14,30,14,3,1,2,115941,115.94,"120.0, 99.0999984741211, 795.4000244140625","60.0, 556.5, 676.7999877929688"
ALKEM,14,30,14,1,1,0,4352,4.35,2599.39990234375,2998.550048828125
ALKYLAMINE,14,30,14,1,1,0,410883,410.88,180.9600067138672,2661.800048828125
ALLCARGO,14,30,14,1,1,0,12598,12.6,30.274999618530273,41.88750076293945
ALLSEC,14,30,14,2,1,1,69900,69.9,"71.9000015258789, 72.9000015258789","23.75, 291.8999938964844"
ALMONDZ,14,30,14,2,1,1,24128,24.13,"17.299999237060547, 27.600000381469727","9.899999618530273, 63.900001525878906"
ALOKINDS,14,30,14,1,1,0,24960,24.96,12.5,22.0
ALPHAGEO,14,30,14,2,1,1,92198,92.2,"167.8000030517578, 435.1499938964844","750.5999755859375, 265.8500061035156"
AMBER,14,30,14,0,0,0,0,0.0,,
AMBIKCO,14,30,14,1,0,1,-3522,-3.52,1571.050048828125,1443.699951171875
AMBUJACEM,14,30,14,2,2,0,17585,17.59,"121.05000305175781, 273.5","159.14999389648438, 342.1000061035156"
AMIORG,14,30,14,0,0,0,0,0.0,,
AMRUTANJAN,14,30,14,2,2,0,37643,37.64,"145.9250030517578, 428.6000061035156","272.0, 609.1500244140625"
ANANTRAJ,14,30,14,0,0,0,0,0.0,,
ANDHRAPAP,14,30,14,0,0,0,0,0.0,,
ANDHRSUGAR,14,30,14,2,2,0,32254,32.25,"37.68000030517578, 82.55999755859375","66.52999877929688, 108.5"
ANGELONE,14,30,14,0,0,0,0,0.0,,
ANMOL,14,30,14,0,0,0,0,0.0,,
ANUP,14,30,14,0,0,0,0,0.0,,
ANURAS,14,30,14,0,0,0,0,0.0,,
APARINDS,14,30,14,2,1,1,16372,16.37,"227.10000610351562, 340.0","166.89999389648438, 620.5"
APCL,14,30,14,1,1,0,2569,2.57,193.7679901123047,210.91766357421875
APCOTEXIND,14,30,14,2,2,0,782555,782.56,"7.139999866485596, 321.75","190.60000610351562, 463.1499938964844"
APEX,14,30,14,0,0,0,0,0.0,,
APLAPOLLO,14,30,14,0,0,0,0,0.0,,
APLLTD,14,30,14,1,1,0,440,0.44,743.5,751.3499755859375
APOLLO,14,30,14,0,0,0,0,0.0,,
APOLLOHOSP,14,30,14,1,1,0,78942,78.94,328.3999938964844,1195.300048828125
APOLLOPIPE,14,30,14,0,0,0,0,0.0,,
APOLLOTYRE,14,30,14,2,0,2,-11302,-11.3,"70.9000015258789, 244.0","55.25, 212.25"
APOLSINHOT,14,30,14,0,0,0,0,0.0,,
APTECHT,14,30,14,3,0,3,-21454,-21.45,"72.53571319580078, 156.0357208251953, 171.67857360839844","49.32142639160156, 118.10713958740234, 153.4642791748047"
APTUS,14,30,14,0,0,0,0,0.0,,
ARCHIDPLY,14,30,14,1,1,0,95181,95.18,13.667811393737793,57.937007904052734
ARIES,14,30,14,2,0,2,-8637,-8.64,"88.9000015258789, 159.8000030517578","82.1500015258789, 127.44999694824219"
ARIHANTCAP,14,30,14,0,0,0,0,0.0,,
ARIHANTSUP,14,30,14,0,0,0,0,0.0,,
ARMANFIN,14,30,14,0,0,0,0,0.0,,
ARROWGREEN,14,30,14,1,0,1,-16229,-16.23,162.64999389648438,71.25
ARVEE,14,30,14,0,0,0,0,0.0,,
ARVIND,14,30,14,2,1,1,55038,55.04,"39.20289611816406, 104.0","120.43560791015625, 84.5999984741211"
ARVINDFASN,14,30,14,0,0,0,0,0.0,,
ARVSMART,14,30,14,0,0,0,0,0.0,,
ASAHIINDIA,14,30,14,1,1,0,41985,41.98,111.05000305175781,263.6000061035156
ASAHISONG,14,30,14,2,0,2,-12590,-12.59,"175.1999969482422, 278.8500061035156","111.44999694824219, 265.5"
ASAL,14,30,14,1,0,1,-4984,-4.98,53.54999923706055,38.75
ASALCBR,14,30,14,0,0,0,0,0.0,,
ASHAPURMIN,14,30,14,1,1,0,4275,4.27,79.8499984741211,90.0
ASHIANA,14,30,14,0,0,0,0,0.0,,
ASHIMASYN,14,30,14,2,1,1,34859,34.86,"7.755425930023193, 19.75","20.049999237060547, 11.850000381469727"
ASHOKA,14,30,14,1,0,1,-2858,-2.86,98.56666564941406,90.80000305175781
ASHOKLEY,14,30,14,2,1,1,44575,44.58,"24.825000762939453, 41.150001525878906","24.299999237060547, 102.5"
ASIANHOTNR,14,30,14,0,0,0,0,0.0,,
ASIANPAINT,14,30,14,0,0,0,0,0.0,,
ASIANTILES,14,30,14,1,1,0,57319,57.32,65.26764678955078,191.4412384033203
ASMS,14,30,14,0,0,0,0,0.0,,
ASPINWALL,14,30,14,0,0,0,0,0.0,,
ASTEC,14,30,14,2,2,0,321999,322.0,"45.54999923706055, 1084.6500244140625","522.7999877929688, 1381.949951171875"
ASTERDM,14,30,14,0,0,0,0,0.0,,
ASTRAL,14,30,14,1,1,0,4964,4.96,9.868501663208008,11.686502456665039
ASTRAMICRO,14,30,14,0,0,0,0,0.0,,
ASTRAZEN,14,30,14,2,2,0,48883,48.88,"893.0499877929688, 1419.449951171875","1314.050048828125, 3089.60009765625"
ATFL,14,30,14,3,1,2,16822,16.82,"163.10000610351562, 282.8999938964844, 711.6500244140625","121.94999694824219, 561.0499877929688, 523.9500122070312"
ATGL,14,30,14,0,0,0,0,0.0,,
ATLANTAA,14,30,14,3,0,3,-21507,-21.51,"62.970001220703125, 66.9000015258789, 80.44999694824219","56.70000076293945, 50.45000076293945, 51.25"
ATUL,14,30,14,0,0,0,0,0.0,,
ATULAUTO,14,30,14,0,0,0,0,0.0,,
AUBANK,14,30,14,0,0,0,0,0.0,,
AURIONPRO,14,30,14,2,0,2,-14522,-14.52,"154.661376953125, 183.24607849121094","127.51224517822266, 128.60000610351562"
AUROPHARMA,14,30,14,2,0,2,-15361,-15.36,"91.18499755859375, 905.25","62.849998474121094, 727.2999877929688"
AURUM,14,30,14,1,0,1,-29280,-29.28,693.0821533203125,11.242118835449219
AUTOAXLES,14,30,14,2,1,1,4791,4.79,"661.2000122070312, 1448.050048828125","553.1500244140625, 1928.550048828125"
AUTOIND,14,30,14,0,0,0,0,0.0,,
AVADHSUGAR,14,30,14,1,0,1,-4980,-4.98,495.8500061035156,416.3999938964844
AVANTIFEED,14,30,14,0,0,0,0,0.0,,
AVG,14,30,14,0,0,0,0,0.0,,
AVTNPL,14,30,14,3,1,2,13730,13.73,"29.850000381469727, 49.599998474121094, 43.5","26.450000762939453, 36.650001525878906, 79.4000015258789"
AWHCL,14,30,14,0,0,0,0,0.0,,
AXISBANK,14,30,14,2,0,2,-10351,-10.35,"224.89999389648438, 298.5400085449219","214.5500030517578, 206.91000366210938"
AXISCADES,14,30,14,1,1,0,21238,21.24,120.0,206.0
AYMSYNTEX,14,30,14,1,0,1,-1158,-1.16,69.80000305175781,66.0999984741211
BAJAJ-AUTO,14,30,14,1,1,0,39088,39.09,877.4000244140625,2016.5999755859375
BAJAJCON,14,30,14,1,0,1,-4770,-4.77,492.1000061035156,405.29998779296875
BAJAJELEC,14,30,14,3,2,1,-511,-0.51,"266.81317138671875, 287.425537109375, 901.712646484375","186.5213165283203, 334.8936767578125, 1020.4500122070312"
BAJAJFINSV,14,30,14,2,1,1,97408,97.41,"105.33000183105469, 1180.6300048828125","459.1199951171875, 1093.175048828125"
BAJAJHCARE,14,30,14,0,0,0,0,0.0,,
BAJAJHIND,14,30,14,1,0,1,-16804,-16.8,20.350000381469727,9.949999809265137
BAJAJHLDNG,14,30,14,0,0,0,0,0.0,,
BAJFINANCE,14,30,14,1,1,0,1539604,1539.6,41.66140365600586,2215.800048828125
BALAJITELE,14,30,14,1,1,0,6971,6.97,69.1500015258789,84.75
BALAMINES,14,30,14,4,3,1,160020,160.02,"30.399999618530273, 54.20000076293945, 89.69999694824219, 842.9500122070312","32.5, 40.599998474121094, 419.8500061035156, 2386.0"
BALAXI,14,30,14,1,1,0,363673,363.67,5.699999809265137,70.31999969482422
BALKRISIND,14,30,14,2,1,1,6870,6.87,"1477.0, 2576.39990234375","2014.3499755859375, 2228.949951171875"
BALMLAWRIE,14,30,14,3,1,2,-9317,-9.32,"63.93809509277344, 56.02857208251953, 74.57500457763672","39.652381896972656, 51.157142639160156, 82.85832977294922"
BALRAMCHIN,14,30,14,2,0,2,-20962,-20.96,"132.75, 162.9499969482422","83.3499984741211, 104.05000305175781"
BANARISUG,14,30,14,4,1,3,-7445,-7.44,"1309.550048828125, 939.0, 1796.8499755859375, 1771.550048828125","902.5, 726.0, 1707.8499755859375, 2473.10009765625"
BANCOINDIA,14,30,14,1,0,1,-8197,-8.2,131.10000610351562,94.5999984741211
BANDHANBNK,14,30,14,0,0,0,0,0.0,,
BANKBARODA,14,30,14,2,1,1,13134,13.13,"86.52999877929688, 185.89999389648438","140.02000427246094, 144.14999389648438"
BANKINDIA,14,30,14,1,0,1,-7697,-7.7,415.04998779296875,309.1000061035156
BANSWRAS,14,30,14,2,2,0,18339,18.34,"46.375, 41.45000076293945","47.45000076293945, 62.650001525878906"
BARBEQUE,14,30,14,0,0,0,0,0.0,,
BASF,14,30,14,2,2,0,10241,10.24,"413.70001220703125, 1926.75","447.8500061035156, 2439.35009765625"
BASML,14,30,14,2,1,1,30349,30.35,"37.947547912597656, 34.761112213134766","29.91708755493164, 75.29965209960938"
BATAINDIA,14,30,14,3,2,1,129707,129.71,"114.05000305175781, 680.8499755859375, 1778.1500244140625","509.6000061035156, 1312.0, 1649.1500244140625"
BAYERCROP,14,30,14,2,1,1,53437,53.44,"1276.699951171875, 5891.2001953125","3899.89990234375, 4604.0498046875"
BBL,14,30,14,0,0,0,0,0.0,,
BBOX,14,30,14,4,1,3,25950,25.95,"24.395000457763672, 39.845001220703125, 27.639999389648438, 48.2400016784668","16.520000457763672, 22.360000610351562, 15.859999656677246, 148.1999969482422"
BBTC,14,30,14,1,1,0,137102,137.1,207.5,1156.5
BBTCL,14,30,14,0,0,0,0,0.0,,
BCG,14,30,14,0,0,0,0,0.0,,
BCLIND,14,30,14,0,0,0,0,0.0,,
BCONCEPTS,14,30,14,0,0,0,0,0.0,,
BDL,14,30,14,0,0,0,0,0.0,,
BECTORFOOD,14,30,14,0,0,0,0,0.0,,
BEDMUTHA,14,30,14,1,0,1,-7964,-7.96,23.149999618530273,16.600000381469727
BEL,14,30,14,2,1,1,26068,26.07,"19.620201110839844, 20.7757568359375","15.571717262268066, 43.733333587646484"
BEML,14,30,14,2,1,1,-6148,-6.15,"1453.7506103515625, 1125.59033203125","1040.19189453125, 1216.75"
BEPL,14,30,14,3,0,3,-22196,-22.2,"21.233333587646484, 15.433333396911621, 96.26666259765625","16.366666793823242, 10.666666030883789, 71.0999984741211"
BERGEPAINT,14,30,14,1,1,0,831075,831.08,17.857141494750977,512.4166870117188
BFINVEST,14,30,14,2,2,0,31352,31.35,"67.0999984741211, 165.64999389648438","113.05000305175781, 219.8000030517578"
BFUTILITIE,14,30,14,1,0,1,-9165,-9.17,681.7999877929688,467.8500061035156
BGRENERGY,14,30,14,2,0,2,-12421,-12.42,"160.9499969482422, 67.0999984741211","116.8499984741211, 58.25"
BHAGCHEM,14,30,14,0,0,0,0,0.0,,
BHAGERIA,14,30,14,1,1,0,1448,1.45,165.4499969482422,174.85000610351562
BHAGYANGR,14,30,14,0,0,0,0,0.0,,
BHARATFORG,14,30,14,2,2,0,25746,25.75,"203.89999389648438, 563.9000244140625","373.20001220703125, 563.8499755859375"
BHARATRAS,14,30,14,1,1,0,16376,16.38,6854.89990234375,10928.7001953125
BHARATWIRE,14,30,14,0,0,0,0,0.0,,
BHARTIARTL,14,30,14,2,0,2,-15642,-15.64,"394.0747375488281, 448.1051025390625","309.5818786621094, 336.709716796875"
BHEL,14,30,14,1,0,1,-4749,-4.75,320.6933288574219,266.8133239746094
BIGBLOC,14,30,14,0,0,0,0,0.0,,
BIL,14,30,14,1,1,0,50803,50.8,178.14999389648438,477.3500061035156
BIOCON,14,30,14,4,2,2,86060,86.06,"47.62916564941406, 43.78333282470703, 57.67499923706055, 447.70001220703125","31.087499618530273, 45.641666412353516, 250.5500030517578, 348.8500061035156"
BIRLACABLE,14,30,14,1,1,0,9526,9.53,68.44999694824219,90.8499984741211
BIRLACORPN,14,30,14,2,0,2,-7947,-7.95,"364.79998779296875, 379.54998779296875","322.54998779296875, 321.54998779296875"
BIRLAMONEY,14,30,14,3,0,3,-15047,-15.05,"25.649999618530273, 56.5, 55.54999923706055","19.700000762939453, 48.25, 52.5"
BLISSGVS,14,30,14,1,0,1,-6694,-6.69,195.14999389648438,151.14999389648438
BLKASHYAP,14,30,14,1,1,0,25384,25.38,15.600000381469727,29.299999237060547
BLS,14,30,14,0,0,0,0,0.0,,
BLUEDART,14,30,14,2,2,0,159545,159.55,"905.5499877929688, 4695.7001953125","5438.2998046875, 6208.85009765625"
BLUESTARCO,14,30,14,2,1,1,22102,22.1,"202.52499389648438, 146.0","160.875, 284.1000061035156"
BODALCHEM,14,30,14,2,1,1,66748,66.75,"35.5, 119.0999984741211","120.5999984741211, 84.4000015258789"
BOMDYEING,14,30,14,1,0,1,-914,-0.91,114.8499984741211,104.55000305175781
BOROLTD,14,30,14,0,0,0,0,0.0,,
BORORENEW,14,30,14,0,0,0,0,0.0,,
BOSCHLTD,14,30,14,1,1,0,94183,94.18,4780.10009765625,20545.099609375
BPCL,14,30,14,1,1,0,1652,1.65,84.61666870117188,89.65833282470703
BPL,14,30,14,0,0,0,0,0.0,,
BRIGADE,14,30,14,2,1,1,5164,5.16,"63.766666412353516, 218.5","100.06666564941406, 130.14999389648438"
BRITANNIA,14,30,14,0,0,0,0,0.0,,
BRNL,14,30,14,0,0,0,0,0.0,,
BROOKS,14,30,14,0,0,0,0,0.0,,
BSE,14,30,14,1,1,0,11256,11.26,320.73333740234375,440.75
BSHSL,14,30,14,0,0,0,0,0.0,,
BSOFT,14,30,14,3,2,1,22844,22.84,"35.93032455444336, 134.33465576171875, 246.89999389648438","65.33351135253906, 108.69999694824219, 282.45001220703125"
BUTTERFLY,14,30,14,1,1,0,39987,39.99,466.04998779296875,1085.4000244140625
BYKE,14,30,14,1,0,1,-3785,-3.78,180.6999969482422,161.5500030517578
CAMLINFINE,14,30,14,1,1,0,78,0.08,114.75,117.6500015258789
CAMS,14,30,14,0,0,0,0,0.0,,
CANBK,14,30,14,1,1,0,2954,2.95,75.62390899658203,83.03553771972656
CANFINHOME,14,30,14,2,1,1,-6086,-6.09,"16.074481964111328, 30.8721923828125","17.406368255615234, 21.052978515625"
CANTABIL,14,30,14,0,0,0,0,0.0,,
CAPACITE,14,30,14,0,0,0,0,0.0,,
CAPLIPOINT,14,30,14,0,0,0,0,0.0,,
CARBORUNIV,14,30,14,2,2,0,35512,35.51,"84.9000015258789, 198.89999389648438","132.0500030517578, 329.75"
CAREERP,14,30,14,1,0,1,-5362,-5.36,163.6999969482422,131.5
CARERATING,14,30,14,0,0,0,0,0.0,,
CARTRADE,14,30,14,0,0,0,0,0.0,,
CARYSIL,14,30,14,0,0,0,0,0.0,,
CCHHL,14,30,14,1,0,1,-7682,-7.68,8.199999809265137,6.050000190734863
CCL,14,30,14,1,1,0,214741,214.74,32.904998779296875,270.1499938964844
CDSL,14,30,14,1,1,0,47377,47.38,406.6499938964844,1041.6500244140625
CEATLTD,14,30,14,1,0,1,-8808,-8.81,1556.550048828125,1094.949951171875
CENTENKA,14,30,14,2,1,1,-9209,-9.21,"271.70001220703125, 340.75","180.25, 351.8500061035156"
CENTRALBK,14,30,14,1,0,1,-10453,-10.45,104.8499984741211,67.8499984741211
CENTRUM,14,30,14,1,0,1,-15851,-15.85,49.54999923706055,23.350000381469727
CENTUM,14,30,14,1,1,0,80982,80.98,132.0,484.8999938964844
CENTURYPLY,14,30,14,3,2,1,16522,16.52,"59.099998474121094, 137.9499969482422, 306.20001220703125","48.400001525878906, 168.5500030517578, 466.20001220703125"
CENTURYTEX,14,30,14,1,0,1,-8340,-8.34,603.4500122070312,419.20001220703125
CERA,14,30,14,0,0,0,0,0.0,,
CESC,14,30,14,2,0,2,-6212,-6.21,"75.51817321777344, 87.19999694824219","73.69126892089844, 72.44999694824219"
CGCL,14,30,14,1,1,0,78273,78.27,65.58061981201172,236.91250610351562
CGPOWER,14,30,14,3,0,3,-28068,-28.07,"82.43568420410156, 69.5328369140625, 83.30000305175781","58.70622253417969, 45.00406265258789, 59.29999923706055"
CHALET,14,30,14,0,0,0,0,0.0,,
CHAMBLFERT,14,30,14,2,1,1,2200,2.2,"49.79999923706055, 237.75","45.04999923706055, 274.6000061035156"
CHEMBOND,14,30,14,0,0,0,0,0.0,,
CHEMCON,14,30,14,0,0,0,0,0.0,,
CHEMFAB,14,30,14,0,0,0,0,0.0,,
CHEMPLASTS,14,30,14,0,0,0,0,0.0,,
CHENNPETRO,14,30,14,0,0,0,0,0.0,,
CHOLAFIN,14,30,14,2,0,2,-25283,-25.28,"67.20999908447266, 31.649999618530273","32.22999954223633, 22.6200008392334"
CHOLAHLDNG,14,30,14,2,1,1,7551,7.55,"49.45026397705078, 662.2000122070312","70.05998992919922, 550.5499877929688"
CIEINDIA,14,30,14,2,1,1,4281,4.28,"112.4000015258789, 240.89999389648438","158.0, 171.85000610351562"
CIGNITITEC,14,30,14,0,0,0,0,0.0,,
CINELINE,14,30,14,1,1,0,10022,10.02,62.04999923706055,83.94999694824219
CIPLA,14,30,14,1,1,0,5862,5.86,754.5,906.4000244140625
CLEAN,14,30,14,0,0,0,0,0.0,,
CLEDUCATE,14,30,14,0,0,0,0,0.0,,
CLSEL,14,30,14,0,0,0,0,0.0,,
COALINDIA,14,30,14,0,0,0,0,0.0,,
COASTCORP,14,30,14,0,0,0,0,0.0,,
COCHINSHIP,14,30,14,0,0,0,0,0.0,,
COFFEEDAY,14,30,14,0,0,0,0,0.0,,
COFORGE,14,30,14,2,2,0,31263,31.26,"187.10000610351562, 639.0","240.1999969482422, 1147.75"
COLPAL,14,30,14,1,1,0,8909,8.91,1110.8499755859375,1434.3499755859375
COMPUSOFT,14,30,14,1,0,1,-10028,-10.03,15.850000381469727,11.100000381469727
CONCOR,14,30,14,3,0,3,-12266,-12.27,"279.1146545410156, 523.2000122070312, 679.5499877929688","233.90933227539062, 472.75, 590.5"
CONFIPET,14,30,14,0,0,0,0,0.0,,
CONSOFINVT,14,30,14,2,1,1,4582,4.58,"81.75, 63.900001525878906","35.79999923706055, 106.1500015258789"
CONTROLPR,14,30,14,0,0,0,0,0.0,,
CORDSCABLE,14,30,14,0,0,0,0,0.0,,
COROMANDEL,14,30,14,2,1,1,117,0.12,"331.3500061035156, 330.6000061035156","229.8000030517578, 436.3999938964844"
COSMOFIRST,14,30,14,2,1,1,46726,46.73,"79.06666564941406, 69.66666412353516","61.266666412353516, 192.56666564941406"
CRAFTSMAN,14,30,14,0,0,0,0,0.0,,
CREATIVE,14,30,14,0,0,0,0,0.0,,
CREDITACC,14,30,14,0,0,0,0,0.0,,
CREST,14,30,14,1,1,0,43388,43.39,56.99998092651367,139.5500030517578
CRISIL,14,30,14,1,1,0,88040,88.04,481.20001220703125,1904.5
CROMPTON,14,30,14,1,0,1,-7308,-7.31,284.45001220703125,208.8000030517578
CROWN,14,30,14,0,0,0,0,0.0,,
CSBBANK,14,30,14,0,0,0,0,0.0,,
CUB,14,30,14,1,1,0,11203,11.2,24.067014694213867,32.93388366699219
CUMMINSIND,14,30,14,1,1,0,2847,2.85,366.6428527832031,397.95001220703125
CUPID,14,30,14,1,1,0,1885,1.88,201.14999389648438,213.14999389648438
CYBERTECH,14,30,14,1,1,0,20034,20.03,76.94999694824219,127.8499984741211
CYIENT,14,30,14,3,2,1,29226,29.23,"184.4250030517578, 190.39999389648438, 575.75","136.25, 422.1499938964844, 589.5999755859375"
DABUR,14,30,14,1,1,0,9609,9.61,71.19999694824219,94.19999694824219
DALBHARAT,14,30,14,1,0,1,-4493,-4.49,2166.199951171875,1838.1500244140625
DALMIASUG,14,30,14,0,0,0,0,0.0,,
DATAMATICS,14,30,14,2,0,2,-5796,-5.8,"49.75, 128.5","49.45000076293945, 104.4000015258789"
DATAPATTNS,14,30,14,0,0,0,0,0.0,,
DBCORP,14,30,14,0,0,0,0,0.0,,
DBL,14,30,14,0,0,0,0,0.0,,
DBREALTY,14,30,14,0,0,0,0,0.0,,
DCAL,14,30,14,1,1,0,82949,82.95,68.7249984741211,259.1499938964844
DCBBANK,14,30,14,1,0,1,-4673,-4.67,170.25,148.0
DCI,14,30,14,0,0,0,0,0.0,,
DCMNVL,14,30,14,0,0,0,0,0.0,,
DCMSHRIRAM,14,30,14,3,3,0,28562,28.56,"71.0, 227.0500030517578, 690.4000244140625","107.19999694824219, 283.54998779296875, 815.25"
DCMSRIND,14,30,14,0,0,0,0,0.0,,
DCW,14,30,14,2,1,1,-5053,-5.05,"24.899999618530273, 24.25","13.100000381469727, 30.700000762939453"
DEEPAKFERT,14,30,14,2,1,1,-5850,-5.85,"113.29898071289062, 148.54432678222656","117.0804672241211, 119.94081115722656"
DEEPAKNTR,14,30,14,1,1,0,445012,445.01,113.44999694824219,1799.1500244140625
DEEPENR,14,30,14,1,0,1,-10912,-10.91,41.75223922729492,26.354854583740234
DEEPINDS,14,30,14,0,0,0,0,0.0,,
DELPHIFX,14,30,14,2,1,1,-876,-0.88,"140.5, 635.25","154.89999389648438, 510.6000061035156"
DELTACORP,14,30,14,3,1,2,-12131,-12.13,"103.4000015258789, 167.89999389648438, 263.29998779296875","78.80000305175781, 201.5500030517578, 166.4499969482422"
DEN,14,30,14,1,0,1,-12124,-12.12,227.64999389648438,133.0500030517578
DENORA,14,30,14,1,0,1,-11445,-11.45,482.04998779296875,307.8999938964844
